"GEO_ID","NAME","B25071_001E","B25071_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent as a percentage of household income","Margin of Error!!Median gross rent as a percentage of household income",
"1500000US110010001011","Block Group 1; Census Tract 1.01; District of Columbia; District of Columbia","20.8","7.2",
"1500000US110010001021","Block Group 1; Census Tract 1.02; District of Columbia; District of Columbia","30.4","22.1",
"1500000US110010001022","Block Group 2; Census Tract 1.02; District of Columbia; District of Columbia","35.6","43.7",
"1500000US110010001023","Block Group 3; Census Tract 1.02; District of Columbia; District of Columbia","20.1","14.5",
"1500000US110010002011","Block Group 1; Census Tract 2.01; District of Columbia; District of Columbia","-","**",
"1500000US110010002012","Block Group 2; Census Tract 2.01; District of Columbia; District of Columbia","-","**",
"1500000US110010002021","Block Group 1; Census Tract 2.02; District of Columbia; District of Columbia","35.8","41.2",
"1500000US110010002022","Block Group 2; Census Tract 2.02; District of Columbia; District of Columbia","18.4","12.4",
"1500000US110010002023","Block Group 3; Census Tract 2.02; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010002024","Block Group 4; Census Tract 2.02; District of Columbia; District of Columbia","45.6","7.5",
"1500000US110010003001","Block Group 1; Census Tract 3; District of Columbia; District of Columbia","31.2","27.9",
"1500000US110010003002","Block Group 2; Census Tract 3; District of Columbia; District of Columbia","23.9","3.6",
"1500000US110010003003","Block Group 3; Census Tract 3; District of Columbia; District of Columbia","22.8","16.0",
"1500000US110010003004","Block Group 4; Census Tract 3; District of Columbia; District of Columbia","45.9","12.0",
"1500000US110010004001","Block Group 1; Census Tract 4; District of Columbia; District of Columbia","42.6","12.4",
"1500000US110010004002","Block Group 2; Census Tract 4; District of Columbia; District of Columbia","24.4","4.5",
"1500000US110010005011","Block Group 1; Census Tract 5.01; District of Columbia; District of Columbia","33.6","10.1",
"1500000US110010005012","Block Group 2; Census Tract 5.01; District of Columbia; District of Columbia","22.3","3.4",
"1500000US110010005013","Block Group 3; Census Tract 5.01; District of Columbia; District of Columbia","27.7","11.2",
"1500000US110010005021","Block Group 1; Census Tract 5.02; District of Columbia; District of Columbia","27.2","4.1",
"1500000US110010005022","Block Group 2; Census Tract 5.02; District of Columbia; District of Columbia","28.0","6.4",
"1500000US110010006001","Block Group 1; Census Tract 6; District of Columbia; District of Columbia","26.0","36.7",
"1500000US110010006002","Block Group 2; Census Tract 6; District of Columbia; District of Columbia","26.1","10.2",
"1500000US110010006003","Block Group 3; Census Tract 6; District of Columbia; District of Columbia","21.8","4.4",
"1500000US110010006004","Block Group 4; Census Tract 6; District of Columbia; District of Columbia","27.3","14.0",
"1500000US110010007021","Block Group 1; Census Tract 7.02; District of Columbia; District of Columbia","22.2","3.5",
"1500000US110010007022","Block Group 2; Census Tract 7.02; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010007023","Block Group 3; Census Tract 7.02; District of Columbia; District of Columbia","29.1","4.6",
"1500000US110010007031","Block Group 1; Census Tract 7.03; District of Columbia; District of Columbia","27.0","6.6",
"1500000US110010007032","Block Group 2; Census Tract 7.03; District of Columbia; District of Columbia","22.6","7.7",
"1500000US110010007041","Block Group 1; Census Tract 7.04; District of Columbia; District of Columbia","32.2","4.2",
"1500000US110010007042","Block Group 2; Census Tract 7.04; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010008021","Block Group 1; Census Tract 8.02; District of Columbia; District of Columbia","25.3","11.9",
"1500000US110010008022","Block Group 2; Census Tract 8.02; District of Columbia; District of Columbia","38.1","34.5",
"1500000US110010008031","Block Group 1; Census Tract 8.03; District of Columbia; District of Columbia","-","**",
"1500000US110010008032","Block Group 2; Census Tract 8.03; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010008033","Block Group 3; Census Tract 8.03; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010008041","Block Group 1; Census Tract 8.04; District of Columbia; District of Columbia","-","**",
"1500000US110010008042","Block Group 2; Census Tract 8.04; District of Columbia; District of Columbia","26.7","5.6",
"1500000US110010008043","Block Group 3; Census Tract 8.04; District of Columbia; District of Columbia","27.5","27.3",
"1500000US110010009021","Block Group 1; Census Tract 9.02; District of Columbia; District of Columbia","-","**",
"1500000US110010009022","Block Group 2; Census Tract 9.02; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010009031","Block Group 1; Census Tract 9.03; District of Columbia; District of Columbia","-","**",
"1500000US110010009032","Block Group 2; Census Tract 9.03; District of Columbia; District of Columbia","-","**",
"1500000US110010009041","Block Group 1; Census Tract 9.04; District of Columbia; District of Columbia","17.9","1.2",
"1500000US110010009042","Block Group 2; Census Tract 9.04; District of Columbia; District of Columbia","14.5","21.9",
"1500000US110010010021","Block Group 1; Census Tract 10.02; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010010022","Block Group 2; Census Tract 10.02; District of Columbia; District of Columbia","23.6","8.7",
"1500000US110010010023","Block Group 3; Census Tract 10.02; District of Columbia; District of Columbia","28.9","15.5",
"1500000US110010010024","Block Group 4; Census Tract 10.02; District of Columbia; District of Columbia","22.7","12.8",
"1500000US110010010031","Block Group 1; Census Tract 10.03; District of Columbia; District of Columbia","-","**",
"1500000US110010010032","Block Group 2; Census Tract 10.03; District of Columbia; District of Columbia","-","**",
"1500000US110010010033","Block Group 3; Census Tract 10.03; District of Columbia; District of Columbia","-","**",
"1500000US110010010041","Block Group 1; Census Tract 10.04; District of Columbia; District of Columbia","-","**",
"1500000US110010010042","Block Group 2; Census Tract 10.04; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010010043","Block Group 3; Census Tract 10.04; District of Columbia; District of Columbia","-","**",
"1500000US110010011001","Block Group 1; Census Tract 11; District of Columbia; District of Columbia","31.2","13.8",
"1500000US110010011002","Block Group 2; Census Tract 11; District of Columbia; District of Columbia","33.3","48.9",
"1500000US110010011003","Block Group 3; Census Tract 11; District of Columbia; District of Columbia","23.2","5.1",
"1500000US110010011004","Block Group 4; Census Tract 11; District of Columbia; District of Columbia","10.0-","***",
"1500000US110010012001","Block Group 1; Census Tract 12; District of Columbia; District of Columbia","31.0","9.8",
"1500000US110010012002","Block Group 2; Census Tract 12; District of Columbia; District of Columbia","35.2","13.3",
"1500000US110010012003","Block Group 3; Census Tract 12; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010012004","Block Group 4; Census Tract 12; District of Columbia; District of Columbia","39.7","55.9",
"1500000US110010013011","Block Group 1; Census Tract 13.01; District of Columbia; District of Columbia","38.7","11.7",
"1500000US110010013012","Block Group 2; Census Tract 13.01; District of Columbia; District of Columbia","-","**",
"1500000US110010013013","Block Group 3; Census Tract 13.01; District of Columbia; District of Columbia","50.0+","***",
"1500000US110010013014","Block Group 4; Census Tract 13.01; District of Columbia; District of Columbia","27.8","5.9",
"1500000US110010013031","Block Group 1; Census Tract 13.03; District of Columbia; District of Columbia","36.0","20.4",
"1500000US110010013032","Block Group 2; Census Tract 13.03; District of Columbia; District of Columbia","21.2","8.8",
"1500000US110010013033","Block Group 3; Census Tract 13.03; District of Columbia; District of Columbia","36.0","9.1",
"1500000US110010013034","Block Group 4; Census Tract 13.03; District of Columbia; District of Columbia","21.3","5.2",
"1500000US110010013041","Block Group 1; Census Tract 13.04; District of Columbia; District of Columbia","24.6","5.1",
"1500000US110010013042","Block Group 2; Census Tract 13.04; District of Columbia; District of Columbia","28.0","5.5",
"1500000US110010013043","Block Group 3; Census Tract 13.04; District of Columbia; District of Columbia","23.2","14.1",
"1500000US110010013044","Block Group 4; Census Tract 13.04; District of Columbia; District of Columbia","26.0","3.9",
"1500000US110010014011","Block Group 1; Census Tract 14.01; District of Columbia; District of Columbia","26.6","5.4",
"1500000US110010014012","Block Group 2; Census Tract 14.01; District of Columbia; District of Columbia","-","**",
"1500000US110010014021","Block Group 1; Census Tract 14.02; District of Columbia; District of Columbia","-","**",
"1500000US110010014022","Block Group 2; Census Tract 14.02; District of Columbia; District of Columbia","27.3","18.0",
"1500000US110010014023","Block Group 3; Census Tract 14.02; District of Columbia; District of Columbia","25.2","8.2",
"1500000US110010015001","Block Group 1; Census Tract 15; District of Columbia; District of Columbia","-","**",
"1500000US110010015002","Block Group 2; Census Tract 15; District of Columbia; District of Columbia","-","**",
"1500000US110010015003","Block Group 3; Census Tract 15; District of Columbia; District of Columbia","-","**",
"1500000US110010015004","Block Group 4; Census Tract 15; District of Columbia; District of Columbia","-","**",
