"GEO_ID","NAME","B17101_001E","B17101_001M","B17101_002E","B17101_002M","B17101_003E","B17101_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level","Margin of Error!!Total:!!Income in the past 12 months below poverty level","Estimate!!Total:!!Income in the past 12 months at or above poverty level","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level",
"1500000US110010001011","Block Group 1; Census Tract 1.01; District of Columbia; District of Columbia","1097","223","27","46","1070","207",
"1500000US110010001021","Block Group 1; Census Tract 1.02; District of Columbia; District of Columbia","1352","293","76","119","1276","298",
"1500000US110010001022","Block Group 2; Census Tract 1.02; District of Columbia; District of Columbia","1031","304","4","7","1027","304",
"1500000US110010001023","Block Group 3; Census Tract 1.02; District of Columbia; District of Columbia","744","279","92","102","652","251",
"1500000US110010002011","Block Group 1; Census Tract 2.01; District of Columbia; District of Columbia","0","14","0","14","0","14",
"1500000US110010002012","Block Group 2; Census Tract 2.01; District of Columbia; District of Columbia","0","14","0","14","0","14",
"1500000US110010002021","Block Group 1; Census Tract 2.02; District of Columbia; District of Columbia","874","310","89","85","785","309",
"1500000US110010002022","Block Group 2; Census Tract 2.02; District of Columbia; District of Columbia","656","206","77","81","579","184",
"1500000US110010002023","Block Group 3; Census Tract 2.02; District of Columbia; District of Columbia","822","362","202","142","620","324",
"1500000US110010002024","Block Group 4; Census Tract 2.02; District of Columbia; District of Columbia","930","327","69","70","861","304",
"1500000US110010003001","Block Group 1; Census Tract 3; District of Columbia; District of Columbia","1199","373","309","167","890","322",
"1500000US110010003002","Block Group 2; Census Tract 3; District of Columbia; District of Columbia","1674","609","114","77","1560","613",
"1500000US110010003003","Block Group 3; Census Tract 3; District of Columbia; District of Columbia","1665","538","58","69","1607","531",
"1500000US110010003004","Block Group 4; Census Tract 3; District of Columbia; District of Columbia","1441","451","53","42","1388","449",
"1500000US110010004001","Block Group 1; Census Tract 4; District of Columbia; District of Columbia","701","205","71","84","630","160",
"1500000US110010004002","Block Group 2; Census Tract 4; District of Columbia; District of Columbia","919","292","43","22","876","292",
"1500000US110010005011","Block Group 1; Census Tract 5.01; District of Columbia; District of Columbia","1111","328","210","245","901","262",
