"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1500000US110010001011","Block Group 1; Census Tract 1.01; District of Columbia; District of Columbia","369","140","23","33","110","109","39","49","80","87","12","20","52","52","0","14","20","31","33","40","0","14",
"1500000US110010001021","Block Group 1; Census Tract 1.02; District of Columbia; District of Columbia","491","226","76","71","45","51","88","45","31","38","0","14","66","52","0","14","185","208","0","14","0","14",
"1500000US110010001022","Block Group 2; Census Tract 1.02; District of Columbia; District of Columbia","73","57","0","14","26","34","0","14","0","14","0","14","0","14","17","29","13","22","0","14","17","28",
"1500000US110010001023","Block Group 3; Census Tract 1.02; District of Columbia; District of Columbia","150","91","28","32","22","28","0","14","27","34","0","14","0","14","0","14","0","14","24","21","49","77",
"1500000US110010002011","Block Group 1; Census Tract 2.01; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010002012","Block Group 2; Census Tract 2.01; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010002021","Block Group 1; Census Tract 2.02; District of Columbia; District of Columbia","54","42","0","14","0","14","0","14","12","22","0","14","14","22","6","10","0","14","22","27","0","14",
"1500000US110010002022","Block Group 2; Census Tract 2.02; District of Columbia; District of Columbia","74","61","0","14","0","14","54","59","0","14","0","14","0","14","0","14","9","15","11","18","0","14",
"1500000US110010002023","Block Group 3; Census Tract 2.02; District of Columbia; District of Columbia","143","74","0","14","15","25","9","14","17","26","0","14","0","14","0","14","0","14","94","65","8","15",
"1500000US110010002024","Block Group 4; Census Tract 2.02; District of Columbia; District of Columbia","169","101","15","24","0","14","0","14","0","14","20","34","0","14","0","14","75","80","44","49","15","22",
"1500000US110010003001","Block Group 1; Census Tract 3; District of Columbia; District of Columbia","227","97","32","50","13","22","16","26","28","46","19","31","23","33","0","14","0","14","96","70","0","14",
"1500000US110010003002","Block Group 2; Census Tract 3; District of Columbia; District of Columbia","597","210","15","25","46","44","45","42","230","181","41","40","0","14","125","90","15","25","52","50","28","32",
"1500000US110010003003","Block Group 3; Census Tract 3; District of Columbia; District of Columbia","148","90","0","14","0","14","27","31","70","99","0","14","0","14","0","14","7","11","27","33","17","28",
"1500000US110010003004","Block Group 4; Census Tract 3; District of Columbia; District of Columbia","75","59","0","14","15","25","0","14","0","14","0","14","0","14","0","14","38","45","22","26","0","14",
"1500000US110010004001","Block Group 1; Census Tract 4; District of Columbia; District of Columbia","71","52","0","14","0","14","13","20","0","14","6","10","0","14","11","15","21","31","20","32","0","14",
"1500000US110010004002","Block Group 2; Census Tract 4; District of Columbia; District of Columbia","178","48","0","14","4","6","43","28","31","21","21","21","0","14","6","9","10","10","33","28","30","20",
"1500000US110010005011","Block Group 1; Census Tract 5.01; District of Columbia; District of Columbia","548","167","0","14","41","38","14","24","73","61","94","75","59","49","34","34","82","91","133","117","18","31",
"1500000US110010005012","Block Group 2; Census Tract 5.01; District of Columbia; District of Columbia","650","160","35","45","98","66","115","85","147","108","51","68","28","30","24","32","35","30","100","129","17","28",
"1500000US110010005013","Block Group 3; Census Tract 5.01; District of Columbia; District of Columbia","751","293","53","62","72","49","120","118","67","60","81","92","40","63","25","28","23","28","230","231","40","65",
"1500000US110010005021","Block Group 1; Census Tract 5.02; District of Columbia; District of Columbia","357","82","8","12","19","30","98","48","24","19","67","49","44","42","39","36","6","9","52","33","0","14",
"1500000US110010005022","Block Group 2; Census Tract 5.02; District of Columbia; District of Columbia","424","141","0","14","28","25","79","48","71","51","57","41","47","42","8","12","89","111","45","26","0","14",
"1500000US110010006001","Block Group 1; Census Tract 6; District of Columbia; District of Columbia","381","134","0","14","0","14","67","63","120","118","18","25","0","14","0","14","18","34","158","95","0","14",
"1500000US110010006002","Block Group 2; Census Tract 6; District of Columbia; District of Columbia","134","60","30","33","0","14","15","24","19","31","14","22","37","60","0","14","19","31","0","14","0","14",
"1500000US110010006003","Block Group 3; Census Tract 6; District of Columbia; District of Columbia","104","62","26","32","0","14","13","22","37","40","0","14","19","28","0","14","0","14","9","15","0","14",
"1500000US110010006004","Block Group 4; Census Tract 6; District of Columbia; District of Columbia","32","33","0","14","0","14","0","14","9","15","15","24","0","14","0","14","8","16","0","14","0","14",
"1500000US110010007021","Block Group 1; Census Tract 7.02; District of Columbia; District of Columbia","559","167","0","14","166","108","37","65","157","145","53","57","67","67","11","17","30","47","23","26","15","25",
"1500000US110010007022","Block Group 2; Census Tract 7.02; District of Columbia; District of Columbia","833","286","0","14","26","28","121","142","22","25","53","43","12","20","46","45","59","74","373","205","121","104",
"1500000US110010007023","Block Group 3; Census Tract 7.02; District of Columbia; District of Columbia","308","105","0","14","14","23","0","14","75","61","65","67","46","42","14","24","0","14","70","47","24","37",
"1500000US110010007031","Block Group 1; Census Tract 7.03; District of Columbia; District of Columbia","673","242","12","19","80","139","71","85","129","95","111","123","61","65","85","98","9","13","115","105","0","14",
"1500000US110010007032","Block Group 2; Census Tract 7.03; District of Columbia; District of Columbia","85","71","14","23","0","14","0","14","37","58","15","25","0","14","0","14","0","14","0","14","19","29",
"1500000US110010007041","Block Group 1; Census Tract 7.04; District of Columbia; District of Columbia","614","217","0","14","39","38","40","36","42","38","123","110","141","201","41","47","56","60","132","79","0","14",
"1500000US110010007042","Block Group 2; Census Tract 7.04; District of Columbia; District of Columbia","276","116","16","25","0","14","0","14","15","18","58","53","0","14","0","14","39","52","148","90","0","14",
"1500000US110010008021","Block Group 1; Census Tract 8.02; District of Columbia; District of Columbia","466","121","7","13","85","72","113","81","22","33","46","37","24","21","5","9","30","45","128","74","6","10",
"1500000US110010008022","Block Group 2; Census Tract 8.02; District of Columbia; District of Columbia","143","76","26","33","0","14","9","14","0","14","0","14","0","14","16","21","0","14","39","31","53","65",
"1500000US110010008031","Block Group 1; Census Tract 8.03; District of Columbia; District of Columbia","60","47","0","14","0","14","0","14","23","32","37","52","0","14","0","14","0","14","0","14","0","14",
"1500000US110010008032","Block Group 2; Census Tract 8.03; District of Columbia; District of Columbia","116","86","0","14","0","14","0","14","0","14","10","17","0","14","0","14","11","21","95","81","0","14",
"1500000US110010008033","Block Group 3; Census Tract 8.03; District of Columbia; District of Columbia","205","115","0","14","8","13","39","63","16","26","0","14","0","14","0","14","14","23","111","96","17","26",
"1500000US110010008041","Block Group 1; Census Tract 8.04; District of Columbia; District of Columbia","28","33","0","14","7","11","0","14","0","14","0","14","0","14","0","14","0","14","0","14","21","31",
"1500000US110010008042","Block Group 2; Census Tract 8.04; District of Columbia; District of Columbia","92","115","0","14","0","14","16","20","7","12","69","112","0","14","0","14","0","14","0","14","0","14",
"1500000US110010008043","Block Group 3; Census Tract 8.04; District of Columbia; District of Columbia","88","60","0","14","0","14","9","15","0","14","20","32","0","14","0","14","0","14","9","15","50","54",
"1500000US110010009021","Block Group 1; Census Tract 9.02; District of Columbia; District of Columbia","24","23","0","14","0","14","0","14","0","14","0","14","18","20","0","14","6","9","0","14","0","14",
"1500000US110010009022","Block Group 2; Census Tract 9.02; District of Columbia; District of Columbia","88","40","0","14","12","18","0","14","0","14","0","14","12","13","0","14","0","14","52","35","12","11",
"1500000US110010009031","Block Group 1; Census Tract 9.03; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010009032","Block Group 2; Census Tract 9.03; District of Columbia; District of Columbia","25","24","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","17","20","8","13",
"1500000US110010009041","Block Group 1; Census Tract 9.04; District of Columbia; District of Columbia","64","46","0","14","0","14","35","35","0","14","0","14","0","14","0","14","0","14","6","9","23","24",
"1500000US110010009042","Block Group 2; Census Tract 9.04; District of Columbia; District of Columbia","224","91","68","67","49","47","0","14","17","22","10","15","19","24","0","14","61","68","0","14","0","14",
"1500000US110010010021","Block Group 1; Census Tract 10.02; District of Columbia; District of Columbia","312","115","0","14","0","14","20","33","41","62","0","14","34","40","0","14","27","32","136","89","54","60",
"1500000US110010010022","Block Group 2; Census Tract 10.02; District of Columbia; District of Columbia","344","212","14","22","30","50","33","50","132","178","14","24","0","14","57","89","9","13","55","61","0","14",
"1500000US110010010023","Block Group 3; Census Tract 10.02; District of Columbia; District of Columbia","379","148","0","14","54","54","0","14","69","82","82","72","0","14","26","29","44","69","99","89","5","9",
"1500000US110010010024","Block Group 4; Census Tract 10.02; District of Columbia; District of Columbia","176","84","41","44","27","31","0","14","37","43","15","24","0","14","0","14","14","24","42","54","0","14",
"1500000US110010010031","Block Group 1; Census Tract 10.03; District of Columbia; District of Columbia","23","27","0","14","0","14","0","14","10","18","0","14","13","22","0","14","0","14","0","14","0","14",
"1500000US110010010032","Block Group 2; Census Tract 10.03; District of Columbia; District of Columbia","16","31","0","14","0","14","0","14","0","14","16","31","0","14","0","14","0","14","0","14","0","14",
"1500000US110010010033","Block Group 3; Census Tract 10.03; District of Columbia; District of Columbia","52","56","0","14","4","12","0","14","0","14","0","14","0","14","0","14","0","14","48","56","0","14",
"1500000US110010010041","Block Group 1; Census Tract 10.04; District of Columbia; District of Columbia","3","11","0","14","3","11","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010010042","Block Group 2; Census Tract 10.04; District of Columbia; District of Columbia","412","141","0","14","22","34","0","14","24","34","41","46","17","27","0","14","22","29","162","117","124","117",
"1500000US110010010043","Block Group 3; Census Tract 10.04; District of Columbia; District of Columbia","12","19","0","14","0","14","12","19","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010011001","Block Group 1; Census Tract 11; District of Columbia; District of Columbia","196","111","22","36","0","14","33","53","16","26","13","21","59","89","0","14","0","14","53","90","0","14",
"1500000US110010011002","Block Group 2; Census Tract 11; District of Columbia; District of Columbia","128","88","0","14","20","33","0","14","14","22","16","24","21","36","0","14","0","14","57","72","0","14",
"1500000US110010011003","Block Group 3; Census Tract 11; District of Columbia; District of Columbia","133","62","0","14","0","14","39","41","43","55","20","32","0","14","7","13","13","20","11","18","0","14",
"1500000US110010011004","Block Group 4; Census Tract 11; District of Columbia; District of Columbia","400","373","141","236","0","14","7","12","0","14","0","14","0","14","0","14","0","14","29","44","223","255",
"1500000US110010012001","Block Group 1; Census Tract 12; District of Columbia; District of Columbia","696","213","40","40","0","14","166","131","72","63","21","30","156","178","75","79","39","50","89","69","38","43",
"1500000US110010012002","Block Group 2; Census Tract 12; District of Columbia; District of Columbia","305","155","0","14","50","36","57","72","0","14","27","31","15","27","77","122","32","38","47","45","0","14",
"1500000US110010012003","Block Group 3; Census Tract 12; District of Columbia; District of Columbia","115","122","0","14","16","26","0","14","0","14","0","14","0","14","0","14","0","14","99","121","0","14",
"1500000US110010012004","Block Group 4; Census Tract 12; District of Columbia; District of Columbia","69","49","0","14","0","14","13","22","0","14","0","14","0","14","23","37","0","14","33","34","0","14",
"1500000US110010013011","Block Group 1; Census Tract 13.01; District of Columbia; District of Columbia","435","120","32","47","0","14","7","13","62","50","47","40","33","40","39","45","85","68","114","113","16","26",
"1500000US110010013012","Block Group 2; Census Tract 13.01; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010013013","Block Group 3; Census Tract 13.01; District of Columbia; District of Columbia","448","275","17","27","0","14","47","48","35","40","26","41","21","34","19","31","33","38","225","255","25","40",
"1500000US110010013014","Block Group 4; Census Tract 13.01; District of Columbia; District of Columbia","597","161","69","70","127","121","28","43","16","26","90","74","135","103","64","80","0","14","50","58","18","30",
"1500000US110010013031","Block Group 1; Census Tract 13.03; District of Columbia; District of Columbia","124","85","0","14","0","14","0","14","37","44","0","14","0","14","60","84","0","14","0","14","27","45",
"1500000US110010013032","Block Group 2; Census Tract 13.03; District of Columbia; District of Columbia","487","154","0","14","201","132","25","41","76","88","45","58","34","55","35","45","0","14","71","57","0","14",
"1500000US110010013033","Block Group 3; Census Tract 13.03; District of Columbia; District of Columbia","285","220","0","14","0","14","0","14","84","100","0","14","33","53","128","193","0","14","40","52","0","14",
"1500000US110010013034","Block Group 4; Census Tract 13.03; District of Columbia; District of Columbia","550","196","0","14","39","51","167","133","98","116","34","42","32","52","4","23","35","41","53","60","88","92",
"1500000US110010013041","Block Group 1; Census Tract 13.04; District of Columbia; District of Columbia","574","181","12","20","24","37","108","97","156","88","69","76","52","50","0","14","23","38","130","138","0","14",
"1500000US110010013042","Block Group 2; Census Tract 13.04; District of Columbia; District of Columbia","552","231","0","14","0","14","101","101","92","74","140","147","40","62","68","107","17","26","94","96","0","14",
"1500000US110010013043","Block Group 3; Census Tract 13.04; District of Columbia; District of Columbia","292","145","32","50","0","14","66","105","69","111","16","26","0","14","38","48","0","14","62","64","9","17",
"1500000US110010013044","Block Group 4; Census Tract 13.04; District of Columbia; District of Columbia","726","376","0","14","123","103","56","65","137","86","246","346","85","59","32","36","25","30","22","36","0","14",
"1500000US110010014011","Block Group 1; Census Tract 14.01; District of Columbia; District of Columbia","496","109","17","20","87","65","89","55","14","15","112","106","59","38","0","14","34","28","75","46","9","13",
"1500000US110010014012","Block Group 2; Census Tract 14.01; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010014021","Block Group 1; Census Tract 14.02; District of Columbia; District of Columbia","8","13","0","14","0","14","8","13","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010014022","Block Group 2; Census Tract 14.02; District of Columbia; District of Columbia","86","46","0","14","0","14","37","33","0","14","13","20","0","14","36","33","0","14","0","14","0","14",
"1500000US110010014023","Block Group 3; Census Tract 14.02; District of Columbia; District of Columbia","503","137","62","57","55","57","101","88","30","30","66","55","66","45","0","14","15","28","107","45","1","3",
"1500000US110010015001","Block Group 1; Census Tract 15; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010015002","Block Group 2; Census Tract 15; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010015003","Block Group 3; Census Tract 15; District of Columbia; District of Columbia","46","38","0","14","0","14","0","14","16","26","0","14","0","14","13","23","0","14","0","14","17","26",
"1500000US110010015004","Block Group 4; Census Tract 15; District of Columbia; District of Columbia","14","22","0","14","14","22","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010015005","Block Group 5; Census Tract 15; District of Columbia; District of Columbia","13","21","0","14","0","14","0","14","0","14","0","14","0","14","13","21","0","14","0","14","0","14",
"1500000US110010016001","Block Group 1; Census Tract 16; District of Columbia; District of Columbia","6","10","0","14","0","14","0","14","6","10","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010016002","Block Group 2; Census Tract 16; District of Columbia; District of Columbia","80","66","0","14","0","14","11","19","0","14","18","28","0","14","0","14","0","14","33","52","18","28",
"1500000US110010016003","Block Group 3; Census Tract 16; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010016004","Block Group 4; Census Tract 16; District of Columbia; District of Columbia","41","46","0","14","0","14","11","16","0","14","0","14","0","14","0","14","0","14","0","14","30","44",
"1500000US110010017021","Block Group 1; Census Tract 17.02; District of Columbia; District of Columbia","251","89","12","18","35","55","24","26","51","38","60","46","0","14","0","14","17","25","52","45","0","14",
"1500000US110010017022","Block Group 2; Census Tract 17.02; District of Columbia; District of Columbia","592","196","0","14","88","78","108","79","52","43","23","28","105","131","66","71","59","59","73","53","18","22",
"1500000US110010018031","Block Group 1; Census Tract 18.03; District of Columbia; District of Columbia","285","120","20","32","45","69","79","75","14","22","46","52","12","25","40","62","13","24","0","14","16","26",
"1500000US110010018032","Block Group 2; Census Tract 18.03; District of Columbia; District of Columbia","630","199","0","14","61","60","59","50","116","136","63","61","28","33","44","63","20","26","139","91","100","103",
"1500000US110010018033","Block Group 3; Census Tract 18.03; District of Columbia; District of Columbia","488","151","64","67","60","58","66","60","33","53","50","48","33","50","35","59","10","18","137","111","0","14",
"1500000US110010018041","Block Group 1; Census Tract 18.04; District of Columbia; District of Columbia","206","123","0","14","0","14","0","14","0","14","25","41","55","64","0","14","41","53","85","116","0","14",
"1500000US110010018042","Block Group 2; Census Tract 18.04; District of Columbia; District of Columbia","502","247","0","14","0","14","155","137","25","43","39","68","155","149","64","95","31","49","33","56","0","14",
"1500000US110010018043","Block Group 3; Census Tract 18.04; District of Columbia; District of Columbia","756","276","0","14","204","176","0","14","0","14","46","81","77","117","56","76","158","163","215","149","0","14",
"1500000US110010019011","Block Group 1; Census Tract 19.01; District of Columbia; District of Columbia","96","66","0","14","20","35","10","14","0","14","13","22","10","16","0","14","11","23","32","39","0","14",
"1500000US110010019012","Block Group 2; Census Tract 19.01; District of Columbia; District of Columbia","71","55","0","14","13","20","0","14","36","48","17","27","0","14","0","14","0","14","5","10","0","14",
"1500000US110010019013","Block Group 3; Census Tract 19.01; District of Columbia; District of Columbia","7","13","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","7","13","0","14",
"1500000US110010019014","Block Group 4; Census Tract 19.01; District of Columbia; District of Columbia","142","130","0","14","19","32","0","14","0","14","89","113","0","14","0","14","0","14","0","14","34","55",
"1500000US110010019021","Block Group 1; Census Tract 19.02; District of Columbia; District of Columbia","25","31","18","28","0","14","7","9","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010019022","Block Group 2; Census Tract 19.02; District of Columbia; District of Columbia","53","34","0","14","3","5","15","24","22","27","4","7","3","9","0","14","6","9","0","14","0","14",
"1500000US110010020011","Block Group 1; Census Tract 20.01; District of Columbia; District of Columbia","761","252","17","18","24","30","62","60","35","39","143","196","40","31","65","83","68","54","307","159","0","14",
"1500000US110010020012","Block Group 2; Census Tract 20.01; District of Columbia; District of Columbia","93","37","0","14","6","10","17","16","0","14","15","14","0","14","0","14","3","6","32","32","20","24",
"1500000US110010020021","Block Group 1; Census Tract 20.02; District of Columbia; District of Columbia","24","23","0","14","0","14","10","15","0","14","0","14","0","14","0","14","0","14","14","16","0","14",
"1500000US110010020022","Block Group 2; Census Tract 20.02; District of Columbia; District of Columbia","114","81","6","10","0","14","6","10","0","14","35","35","0","14","10","19","0","14","5","8","52","75",
"1500000US110010020023","Block Group 3; Census Tract 20.02; District of Columbia; District of Columbia","132","89","0","14","64","69","35","39","0","14","33","42","0","14","0","14","0","14","0","14","0","14",
"1500000US110010021011","Block Group 1; Census Tract 21.01; District of Columbia; District of Columbia","472","282","0","14","71","85","0","14","231","228","49","73","0","14","0","14","0","14","121","171","0","14",
"1500000US110010021012","Block Group 2; Census Tract 21.01; District of Columbia; District of Columbia","369","199","0","14","77","70","0","14","139","151","0","14","0","14","88","72","0","14","65","102","0","14",
"1500000US110010021013","Block Group 3; Census Tract 21.01; District of Columbia; District of Columbia","140","121","0","14","0","14","0","14","52","83","0","14","27","43","0","14","0","14","17","33","44","70",
"1500000US110010021014","Block Group 4; Census Tract 21.01; District of Columbia; District of Columbia","114","97","0","14","0","14","60","66","0","14","36","58","0","14","0","14","0","14","18","48","0","14",
"1500000US110010021015","Block Group 5; Census Tract 21.01; District of Columbia; District of Columbia","236","169","0","14","0","14","0","14","54","79","27","43","114","144","0","14","0","14","0","14","41","67",
"1500000US110010021021","Block Group 1; Census Tract 21.02; District of Columbia; District of Columbia","41","44","10","16","25","36","0","14","0","14","0","14","0","14","0","14","0","14","0","14","6","10",
"1500000US110010021022","Block Group 2; Census Tract 21.02; District of Columbia; District of Columbia","404","224","36","57","42","48","153","167","0","14","80","113","0","14","0","14","0","14","93","91","0","14",
"1500000US110010021023","Block Group 3; Census Tract 21.02; District of Columbia; District of Columbia","132","80","18","26","0","14","0","14","31","34","0","14","0","14","0","14","33","52","50","43","0","14",
"1500000US110010021024","Block Group 4; Census Tract 21.02; District of Columbia; District of Columbia","29","35","0","14","0","14","0","14","0","14","9","15","0","14","0","14","0","14","20","31","0","14",
"1500000US110010021025","Block Group 5; Census Tract 21.02; District of Columbia; District of Columbia","213","149","0","14","11","17","0","14","140","147","21","33","0","14","0","14","0","14","41","47","0","14",
"1500000US110010021026","Block Group 6; Census Tract 21.02; District of Columbia; District of Columbia","185","93","0","14","0","14","0","14","24","35","34","52","0","14","0","14","0","14","127","101","0","14",
"1500000US110010022011","Block Group 1; Census Tract 22.01; District of Columbia; District of Columbia","43","35","0","14","0","14","0","14","0","14","18","20","0","14","13","22","12","19","0","14","0","14",
"1500000US110010022012","Block Group 2; Census Tract 22.01; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010022013","Block Group 3; Census Tract 22.01; District of Columbia; District of Columbia","30","23","0","14","0","14","0","14","0","14","30","23","0","14","0","14","0","14","0","14","0","14",
"1500000US110010022021","Block Group 1; Census Tract 22.02; District of Columbia; District of Columbia","347","210","16","25","2","5","27","30","46","34","101","145","0","14","11","17","22","32","122","134","0","14",
"1500000US110010022022","Block Group 2; Census Tract 22.02; District of Columbia; District of Columbia","90","65","18","28","0","14","14","23","0","14","0","14","0","14","0","14","34","56","24","29","0","14",
"1500000US110010022023","Block Group 3; Census Tract 22.02; District of Columbia; District of Columbia","147","73","45","70","15","26","0","14","21","33","0","14","0","14","0","14","0","14","66","73","0","14",
"1500000US110010023011","Block Group 1; Census Tract 23.01; District of Columbia; District of Columbia","43","33","0","14","13","21","10","15","0","14","0","14","0","14","7","12","13","20","0","14","0","14",
"1500000US110010023012","Block Group 2; Census Tract 23.01; District of Columbia; District of Columbia","233","99","0","14","0","14","0","14","13","21","16","23","0","14","65","63","0","14","94","81","45","65",
"1500000US110010023021","Block Group 1; Census Tract 23.02; District of Columbia; District of Columbia","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US110010023022","Block Group 2; Census Tract 23.02; District of Columbia; District of Columbia","239","86","5","7","24","38","3","5","30","26","34","33","56","59","26","28","8","13","30","26","23","22",
"1500000US110010023023","Block Group 3; Census Tract 23.02; District of Columbia; District of Columbia","378","159","7","10","0","14","26","34","125","129","0","14","23","36","0","14","58","57","122","85","17","29",
"1500000US110010024001","Block Group 1; Census Tract 24; District of Columbia; District of Columbia","250","87","0","14","19","30","83","69","49","41","0","14","2","3","46","47","24","35","27","31","0","14",
"1500000US110010024002","Block Group 2; Census Tract 24; District of Columbia; District of Columbia","42","45","0","14","0","14","0","14","0","14","0","14","22","33","0","14","20","32","0","14","0","14",
"1500000US110010024003","Block Group 3; Census Tract 24; District of Columbia; District of Columbia","41","37","0","14","0","14","8","14","10","15","23","35","0","14","0","14","0","14","0","14","0","14",
"1500000US110010024004","Block Group 4; Census Tract 24; District of Columbia; District of Columbia","112","71","0","14","64","61","14","23","4","8","11","17","0","14","0","14","19","27","0","14","0","14",
"1500000US110010025011","Block Group 1; Census Tract 25.01; District of Columbia; District of Columbia","291","264","185","259","0","14","0","14","9","14","40","37","36","44","13","21","0","14","8","13","0","14",
"1500000US110010025012","Block Group 2; Census Tract 25.01; District of Columbia; District of Columbia","101","75","0","14","17","25","0","14","33","36","0","14","2","5","0","14","49","64","0","14","0","14",
"1500000US110010025031","Block Group 1; Census Tract 25.03; District of Columbia; District of Columbia","615","560","0","14","71","67","39","43","11","18","0","14","368","522","58","67","36","47","32","52","0","14",
"1500000US110010025032","Block Group 2; Census Tract 25.03; District of Columbia; District of Columbia","503","157","59","61","0","14","159","111","59","53","155","112","71","68","0","14","0","14","0","14","0","14",
"1500000US110010025041","Block Group 1; Census Tract 25.04; District of Columbia; District of Columbia","89","64","0","14","21","32","20","31","33","28","0","14","15","43","0","14","0","14","0","14","0","14",
"1500000US110010025042","Block Group 2; Census Tract 25.04; District of Columbia; District of Columbia","431","153","8","42","28","32","75","70","48","44","88","99","47","57","87","62","0","14","50","57","0","14",
"1500000US110010026001","Block Group 1; Census Tract 26; District of Columbia; District of Columbia","166","55","12","12","15","22","26","30","10","11","11","11","28","42","23","25","6","10","26","26","9","13",
"1500000US110010026002","Block Group 2; Census Tract 26; District of Columbia; District of Columbia","87","39","0","14","0","14","31","38","3","5","12","18","9","13","0","14","0","14","6","11","26","34",
"1500000US110010027021","Block Group 1; Census Tract 27.02; District of Columbia; District of Columbia","494","145","49","56","0","14","45","33","61","51","63","51","102","102","65","72","70","78","39","38","0","14",
